2170    , -1311.12    , array([ 1.00062    ,  0.0982833  ,  4.98137    ,  2.54721    ,  0.0490171  ])
2171    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2172    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2173    , -1311.12    , array([ 1.00162    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2174    , -1311.12    , array([ 1.00062    ,  0.0983817  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2175    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98636    ,  2.54718    ,  0.0489681  ])
2176    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54973    ,  0.0489681  ])
2177    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0490171  ])
2178    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2179    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2180    , -1311.12    , array([ 1.00162    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2181    , -1311.12    , array([ 1.00062    ,  0.0983817  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2182    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98636    ,  2.54718    ,  0.0489681  ])
2183    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54973    ,  0.0489681  ])
2184    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0490171  ])
2185    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2186    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2187    , -1311.12    , array([ 1.00162    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2188    , -1311.12    , array([ 1.00062    ,  0.0983817  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2189    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98636    ,  2.54718    ,  0.0489681  ])
2190    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54973    ,  0.0489681  ])
2191    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0490171  ])
2192    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2193    , -1311.12    , array([ 1.00062    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
2194    , -1311.12    , array([ 1.00162    ,  0.0982834  ,  4.98137    ,  2.54718    ,  0.0489681  ])
