43391   , -2277.27    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.29939    ,  0.00344681 ])
43393   , -2277.27    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.29939    ,  0.00344681 ])
43394   , -2279.17    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  8.57459    ,  0.00344681 ])
43395   , -2278.92    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  4.89324    ,  0.00344681 ])
43396   , -2277.2     , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.00344681 ])
43397   , -2277.2     , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.604      ,  0.00344681 ])
43398   , -2277.21    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.73741    ,  0.00344681 ])
43399   , -2277.2     , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.00344681 ])
43400   , -59818.7    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  1.00345    ])
43402   , -2277.2     , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.00344681 ])
43404   , -61910.1    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.385413   ])
43405   , -60910.5    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.193948   ])
43408   , -57596.8    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.0762117  ])
43410   , -49336.9    , array([ 0.351441   ,  0.01       ,  8.67044e-05,  6.67071    ,  0.0312405  ])
