254202  , -30612.8    , array([ 0.00106009 ,  0.00188951 ,  1.25601e-06,  6.11663e-38,  0.000156561])
254203  , -30646.3    , array([ 0.00105903 ,  0.0018914  ,  1.25601e-06,  6.11663e-38,  0.000156561])
254204  , -30629.7    , array([ 0.00105903 ,  0.00188951 ,  1.25727e-06,  6.11663e-38,  0.000156561])
254205  , -30629.7    , array([ 0.00105903 ,  0.00188951 ,  1.25601e-06,  6.12275e-38,  0.000156561])
254206  , -30630      , array([ 0.00105903 ,  0.00188951 ,  1.25601e-06,  6.11663e-38,  0.000156717])
254207  , -30628.8    , array([ 0.001059   ,  0.00188936 ,  1.25601e-06,  6.11663e-38,  0.000156558])
254208  , -30628.8    , array([ 0.001059   ,  0.00188936 ,  1.25601e-06,  6.11663e-38,  0.000156558])
254209  , -30611.9    , array([ 0.00106006 ,  0.00188936 ,  1.25601e-06,  6.11663e-38,  0.000156558])
254210  , -30645.3    , array([ 0.001059   ,  0.00189125 ,  1.25601e-06,  6.11663e-38,  0.000156558])
254211  , -30628.8    , array([ 0.001059   ,  0.00188936 ,  1.25727e-06,  6.11663e-38,  0.000156558])
254212  , -30628.8    , array([ 0.001059   ,  0.00188936 ,  1.25601e-06,  6.12275e-38,  0.000156558])
254213  , -30629.1    , array([ 0.001059   ,  0.00188936 ,  1.25601e-06,  6.11663e-38,  0.000156715])
254214  , -30627.8    , array([ 0.00105898 ,  0.0018892  ,  1.25601e-06,  6.11663e-38,  0.000156555])
254215  , -30627.8    , array([ 0.00105898 ,  0.0018892  ,  1.25601e-06,  6.11663e-38,  0.000156555])
254216  , -30610.9    , array([ 0.00106004 ,  0.0018892  ,  1.25601e-06,  6.11663e-38,  0.000156555])
254217  , -30644.4    , array([ 0.00105898 ,  0.00189109 ,  1.25601e-06,  6.11663e-38,  0.000156555])
254218  , -30627.8    , array([ 0.00105898 ,  0.0018892  ,  1.25727e-06,  6.11663e-38,  0.000156555])
254219  , -30627.8    , array([ 0.00105898 ,  0.0018892  ,  1.25601e-06,  6.12275e-38,  0.000156555])
254220  , -30628.1    , array([ 0.00105898 ,  0.0018892  ,  1.25601e-06,  6.11663e-38,  0.000156712])
254228  , -30627.6    , array([ 0.00105897 ,  0.00188917 ,  1.25601e-06,  6.11663e-38,  0.000156554])
254229  , -30627.6    , array([ 0.00105897 ,  0.00188917 ,  1.25601e-06,  6.11663e-38,  0.000156554])
254230  , -30610.7    , array([ 0.00106003 ,  0.00188917 ,  1.25601e-06,  6.11663e-38,  0.000156554])
