308634  , -5048.11    , array([ 2.11789    ,  0.107369   ,  1.13362e-15,  8.80495    ,  0.258218   ])
308635  , -5046.22    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80495    ,  0.258218   ])
308636  , -5045.28    , array([ 2.11578    ,  0.107369   ,  1.13476e-15,  8.80495    ,  0.258218   ])
308637  , -5044.32    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.81376    ,  0.258218   ])
308638  , -5046.73    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80495    ,  0.258477   ])
308646  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80496    ,  0.258218   ])
308647  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80496    ,  0.258218   ])
308648  , -5048.11    , array([ 2.11789    ,  0.107369   ,  1.13362e-15,  8.80496    ,  0.258218   ])
308649  , -5046.21    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80496    ,  0.258218   ])
308650  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13476e-15,  8.80496    ,  0.258218   ])
308651  , -5044.32    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.81377    ,  0.258218   ])
308652  , -5046.73    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80496    ,  0.258477   ])
308660  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308661  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308662  , -5048.11    , array([ 2.11789    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308663  , -5046.21    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308664  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13476e-15,  8.80497    ,  0.258218   ])
308665  , -5044.31    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.81378    ,  0.258218   ])
308666  , -5046.73    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258476   ])
308674  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308675  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308676  , -5048.11    , array([ 2.11789    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308677  , -5046.21    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308678  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13476e-15,  8.80497    ,  0.258218   ])
308679  , -5044.31    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.81378    ,  0.258218   ])
308680  , -5046.73    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258476   ])
308688  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308689  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308690  , -5048.11    , array([ 2.11789    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308691  , -5046.21    , array([ 2.11578    ,  0.107477   ,  1.13362e-15,  8.80497    ,  0.258218   ])
308692  , -5045.27    , array([ 2.11578    ,  0.107369   ,  1.13476e-15,  8.80497    ,  0.258218   ])
308693  , -5044.31    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.81378    ,  0.258218   ])
308694  , -5046.73    , array([ 2.11578    ,  0.107369   ,  1.13362e-15,  8.80497    ,  0.258476   ])
308695  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308696  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308697  , -4761.62    , array([ 2.07384    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308698  , -4759.7     , array([ 2.07176    ,  0.0980307  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308699  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13476e-15,  9.67568    ,  0.247445   ])
308700  , -4757.99    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.68536    ,  0.247445   ])
308701  , -4760.21    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247693   ])
308702  , -4666.72    , array([ 2.05701    ,  0.0949171  ,  1.13362e-15,  9.99093    ,  0.243886   ])
308703  , -4666.72    , array([ 2.05701    ,  0.0949171  ,  1.13362e-15,  9.99093    ,  0.243886   ])
308704  , -4669.44    , array([ 2.05906    ,  0.0949171  ,  1.13362e-15,  9.99093    ,  0.243886   ])
308705  , -4667.52    , array([ 2.05701    ,  0.095012   ,  1.13362e-15,  9.99093    ,  0.243886   ])
308706  , -4666.72    , array([ 2.05701    ,  0.0949171  ,  1.13476e-15,  9.99093    ,  0.243886   ])
308708  , -4668.02    , array([ 2.05701    ,  0.0949171  ,  1.13362e-15,  9.99093    ,  0.24413    ])
308709  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308710  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308711  , -4761.62    , array([ 2.07384    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308712  , -4759.7     , array([ 2.07176    ,  0.0980307  ,  1.13362e-15,  9.67568    ,  0.247445   ])
308713  , -4758.86    , array([ 2.07176    ,  0.0979327  ,  1.13476e-15,  9.67568    ,  0.247445   ])
308714  , -4757.99    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.68536    ,  0.247445   ])
308715  , -4760.21    , array([ 2.07176    ,  0.0979327  ,  1.13362e-15,  9.67568    ,  0.247693   ])
308716  , -4697.14    , array([ 2.06191    ,  0.0959118  ,  1.13362e-15,  9.88472    ,  0.245066   ])
308717  , -4697.14    , array([ 2.06191    ,  0.0959118  ,  1.13362e-15,  9.88472    ,  0.245066   ])
308718  , -4699.88    , array([ 2.06398    ,  0.0959118  ,  1.13362e-15,  9.88472    ,  0.245066   ])
308719  , -4697.96    , array([ 2.06191    ,  0.0960078  ,  1.13362e-15,  9.88472    ,  0.245066   ])
308720  , -4697.14    , array([ 2.06191    ,  0.0959118  ,  1.13476e-15,  9.88472    ,  0.245066   ])
308721  , -4696.28    , array([ 2.06191    ,  0.0959118  ,  1.13362e-15,  9.89461    ,  0.245066   ])
308722  , -4698.46    , array([ 2.06191    ,  0.0959118  ,  1.13362e-15,  9.88472    ,  0.245312   ])
308723  , -4676.83    , array([ 2.05864    ,  0.0952475  ,  1.13362e-15,  9.9554     ,  0.244279   ])
308724  , -4676.83    , array([ 2.05864    ,  0.0952475  ,  1.13362e-15,  9.9554     ,  0.244279   ])
308725  , -4679.56    , array([ 2.0607     ,  0.0952475  ,  1.13362e-15,  9.9554     ,  0.244279   ])
308726  , -4677.64    , array([ 2.05864    ,  0.0953428  ,  1.13362e-15,  9.9554     ,  0.244279   ])
308727  , -4676.83    , array([ 2.05864    ,  0.0952475  ,  1.13476e-15,  9.9554     ,  0.244279   ])
