91607   , -23904.1    , array([ 99.6626    ,  0.0252771  ,  6.2431e-05 ,  2.03272e-40,  0.0282421  ])
91608   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91609   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91610   , -23861.4    , array([ 99.9856    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91611   , -23820.3    , array([ 99.8857    ,  0.0252903  ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91612   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23687e-05,  2.03272e-40,  0.0281982  ])
91613   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03476e-40,  0.0281982  ])
91614   , -23901.5    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0282264  ])
91622   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91623   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91624   , -23861.4    , array([ 99.9856    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91625   , -23820.3    , array([ 99.8857    ,  0.0252903  ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91626   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23687e-05,  2.03272e-40,  0.0281982  ])
91627   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03476e-40,  0.0281982  ])
91628   , -23901.5    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0282264  ])
91629   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91630   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91631   , -23861.4    , array([ 99.9856    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91632   , -23820.3    , array([ 99.8857    ,  0.0252903  ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91633   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23687e-05,  2.03272e-40,  0.0281982  ])
91634   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03476e-40,  0.0281982  ])
91635   , -23901.5    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0282264  ])
91636   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22652e-05,  2.03272e-40,  0.028193   ])
91637   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22652e-05,  2.03272e-40,  0.028193   ])
91639   , -23819.5    , array([ 99.9594    ,  0.0252863  ,  6.22652e-05,  2.03272e-40,  0.028193   ])
91640   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.23275e-05,  2.03272e-40,  0.028193   ])
91641   , -23860.6    , array([ 99.9594    ,  0.025261   ,  6.22652e-05,  2.03476e-40,  0.028193   ])
91642   , -23900.7    , array([ 99.9594    ,  0.025261   ,  6.22652e-05,  2.03272e-40,  0.0282212  ])
91643   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91644   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91645   , -23861.4    , array([ 99.9856    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91646   , -23820.3    , array([ 99.8857    ,  0.0252903  ,  6.23063e-05,  2.03272e-40,  0.0281982  ])
91647   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23687e-05,  2.03272e-40,  0.0281982  ])
91648   , -23861.4    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03476e-40,  0.0281982  ])
91649   , -23901.5    , array([ 99.8857    ,  0.025265   ,  6.23063e-05,  2.03272e-40,  0.0282264  ])
91650   , -23860.9    , array([ 99.9348    ,  0.0252623  ,  6.22789e-05,  2.03272e-40,  0.0281947  ])
91651   , -23860.9    , array([ 99.9348    ,  0.0252623  ,  6.22789e-05,  2.03272e-40,  0.0281947  ])
91653   , -23819.8    , array([ 99.9348    ,  0.0252876  ,  6.22789e-05,  2.03272e-40,  0.0281947  ])
91654   , -23860.9    , array([ 99.9348    ,  0.0252623  ,  6.23412e-05,  2.03272e-40,  0.0281947  ])
91655   , -23860.9    , array([ 99.9348    ,  0.0252623  ,  6.22789e-05,  2.03476e-40,  0.0281947  ])
91656   , -23901      , array([ 99.9348    ,  0.0252623  ,  6.22789e-05,  2.03272e-40,  0.028223   ])
91657   , -23860.6    , array([ 99.9542    ,  0.0252613  ,  6.22681e-05,  2.03272e-40,  0.0281934  ])
91658   , -23860.6    , array([ 99.9542    ,  0.0252613  ,  6.22681e-05,  2.03272e-40,  0.0281934  ])
91660   , -23819.5    , array([ 99.9542    ,  0.0252866  ,  6.22681e-05,  2.03272e-40,  0.0281934  ])
91661   , -23860.6    , array([ 99.9542    ,  0.0252613  ,  6.23304e-05,  2.03272e-40,  0.0281934  ])
