99665   , -26849.8    , array([ 1.00652    ,  0.468859   ,  4.78037    ,  4.73878    ,  0.0499192  ])
99666   , -15595.1    , array([ 1.00652    ,  0.27767    ,  4.78037    ,  4.73878    ,  0.0499192  ])
99669   , -5780.09    , array([ 1.00652    ,  0.159763   ,  4.78037    ,  4.73878    ,  0.0499192  ])
99670   , -4966.45    , array([ 1.00652    ,  0.0524509  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99671   , -1738.1     , array([ 1.00652    ,  0.103649   ,  4.78037    ,  4.73878    ,  0.0499192  ])
99672   , -1374.99    , array([ 1.00652    ,  0.0907001  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99673   , -1356.15    , array([ 1.00652    ,  0.087021   ,  4.78037    ,  4.73878    ,  0.0499192  ])
99674   , -1355.99    , array([ 1.00652    ,  0.0873431  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99675   , -1355.99    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99676   , -1355.99    , array([ 1.00652    ,  0.0873315  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99677   , -1355.99    , array([ 1.00652    ,  0.0873228  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99678   , -1355.99    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99679   , -6942.49    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  1.04992    ])
99681   , -1355.99    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0499192  ])
99683   , -5997.72    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.431885   ])
99684   , -5094.19    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.240865   ])
99687   , -3528.87    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.122854   ])
99688   , -10730      , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0154774  ])
99689   , -2110.57    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0777778  ])
99690   , -1841.65    , array([ 1.00652    ,  0.0873272  ,  4.78037    ,  4.73878    ,  0.0367636  ])
