167358  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167359  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167360  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167361  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167362  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167363  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
167364  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.77008e-39,  0.02425    ])
167365  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.0242743  ])
167366  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167367  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167368  , -1632.51    , array([ 1.43999    ,  0.067718   ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167369  , -1632.51    , array([ 1.43855    ,  0.0677857  ,  6.25997e-08,  4.76531e-39,  0.02425    ])
167370  , -1632.51    , array([ 1.43855    ,  0.067718   ,  6.26623e-08,  4.76531e-39,  0.02425    ])
