117723  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117724  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117725  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117726  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117727  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117728  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117729  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117730  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117731  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117732  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117733  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117734  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117735  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117736  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117737  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117738  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
117739  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117740  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117741  , -1632.54    , array([ 1.43806    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117742  , -1632.54    , array([ 1.43662    ,  0.0677188  ,  2.4955e-48 ,  6.21175e-09,  0.0242265  ])
117743  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.49799e-48,  6.21175e-09,  0.0242265  ])
117744  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21796e-09,  0.0242265  ])
117745  , -1632.54    , array([ 1.43662    ,  0.0676511  ,  2.4955e-48 ,  6.21175e-09,  0.0242508  ])
