86916   , -68694.8    , array([ 0.750601   ,  12.6109    ,  3.29559e-19,  9.99552    ,  0.0125916  ])
86917   , -68702.5    , array([ 0.751352   ,  12.6109    ,  3.29559e-19,  9.99552    ,  0.0125916  ])
86918   , -68695.7    , array([ 0.750601   ,  12.6235    ,  3.29559e-19,  9.99552    ,  0.0125916  ])
86919   , -68694.8    , array([ 0.750601   ,  12.6109    ,  3.29889e-19,  9.99552    ,  0.0125916  ])
86921   , -68687.7    , array([ 0.750601   ,  12.6109    ,  3.29559e-19,  9.99552    ,  0.0126042  ])
86922   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86923   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86924   , -68716.6    , array([ 0.760214   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86925   , -68709.8    , array([ 0.759455   ,  12.8447    ,  3.29559e-19,  9.87998    ,  0.0127196  ])
86926   , -68708.9    , array([ 0.759455   ,  12.8319    ,  3.29889e-19,  9.87998    ,  0.0127196  ])
86927   , -68710.5    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.88987    ,  0.0127196  ])
86928   , -68701.7    , array([ 0.759455   ,  12.8319    ,  3.29559e-19,  9.87998    ,  0.0127323  ])
86929   , -68699.5    , array([ 0.753541   ,  12.6841    ,  3.29559e-19,  9.95685    ,  0.0126341  ])
86930   , -68699.5    , array([ 0.753541   ,  12.6841    ,  3.29559e-19,  9.95685    ,  0.0126341  ])
86931   , -68707.2    , array([ 0.754295   ,  12.6841    ,  3.29559e-19,  9.95685    ,  0.0126341  ])
86932   , -68700.4    , array([ 0.753541   ,  12.6968    ,  3.29559e-19,  9.95685    ,  0.0126341  ])
86933   , -68699.5    , array([ 0.753541   ,  12.6841    ,  3.29889e-19,  9.95685    ,  0.0126341  ])
86934   , -68701.1    , array([ 0.753541   ,  12.6841    ,  3.29559e-19,  9.96682    ,  0.0126341  ])
86935   , -68692.4    , array([ 0.753541   ,  12.6841    ,  3.29559e-19,  9.95685    ,  0.0126468  ])
86936   , -68696.4    , array([ 0.75158    ,  12.6353    ,  3.29559e-19,  9.98261    ,  0.0126058  ])
86937   , -68696.4    , array([ 0.75158    ,  12.6353    ,  3.29559e-19,  9.98261    ,  0.0126058  ])
86938   , -68704.1    , array([ 0.752332   ,  12.6353    ,  3.29559e-19,  9.98261    ,  0.0126058  ])
86939   , -68697.2    , array([ 0.75158    ,  12.6479    ,  3.29559e-19,  9.98261    ,  0.0126058  ])
86940   , -68696.4    , array([ 0.75158    ,  12.6353    ,  3.29889e-19,  9.98261    ,  0.0126058  ])
86941   , -68698      , array([ 0.75158    ,  12.6353    ,  3.29559e-19,  9.9926     ,  0.0126058  ])
