48586   , -2165.08    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.46433    ,  4.99999    ])
48587   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.46147    ,  4.99999    ])
48588   , -2165.06    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99999    ])
48589   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45595    ,  4.99999    ])
48590   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45937    ,  4.99999    ])
48591   , -2165.06    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99999    ])
48593   , -2260.83    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  3.38195    ])
48594   , -2165.06    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99999    ])
48595   , -2186.67    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.38195    ])
48597   , -2174.45    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.69097    ])
48599   , -2168.36    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.88195    ])
48601   , -2166.29    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.9549     ])
48603   , -2165.53    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.98277    ])
48605   , -2165.24    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99341    ])
48607   , -2165.13    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99747    ])
48609   , -2165.09    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99903    ])
48611   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99962    ])
48613   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99985    ])
48615   , -2165.07    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99993    ])
48617   , -2165.06    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  4.99997    ])
48618   , -2165.06    , array([ 1.59425    ,  0.185251   ,  1.75518    ,  4.45766    ,  5          ])
