149259  , -2965.15    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.44133    ,  0.0494875  ])
149260  , -2965.22    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.049537   ])
149268  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149269  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149270  , -2963.83    , array([ 20.8797    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149271  , -2965.89    , array([ 20.8588    ,  0.0806242  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149272  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.30075e-39,  9.43189    ,  0.0494875  ])
149273  , -2965.15    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.44133    ,  0.0494875  ])
149274  , -2965.22    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.049537   ])
149282  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149283  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149284  , -2963.83    , array([ 20.8797    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149285  , -2965.89    , array([ 20.8588    ,  0.0806242  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149286  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.30075e-39,  9.43189    ,  0.0494875  ])
149287  , -2965.15    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.44133    ,  0.0494875  ])
149288  , -2965.22    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.049537   ])
149296  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149297  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149298  , -2963.83    , array([ 20.8797    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149299  , -2965.89    , array([ 20.8588    ,  0.0806242  ,  5.29545e-39,  9.43189    ,  0.0494875  ])
149300  , -2963.67    , array([ 20.8588    ,  0.0805436  ,  5.30075e-39,  9.43189    ,  0.0494875  ])
149301  , -2965.15    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.44133    ,  0.0494875  ])
149302  , -2965.22    , array([ 20.8588    ,  0.0805436  ,  5.29545e-39,  9.43189    ,  0.049537   ])
149303  , -2838.9     , array([ 25.2254    ,  0.0761132  ,  5.29545e-39,  9.82367    ,  0.0465982  ])
