3347    , -92.6504    , array([ 0.111105   ,  1.12624    ,  0.071415   ,  0.0361635  ])
3348    , -92.682     , array([ 0.111105   ,  1.12511    ,  0.0714865  ,  0.0361635  ])
3349    , -92.6817    , array([ 0.111105   ,  1.12511    ,  0.071415   ,  0.0361997  ])
3350    , -91.3363    , array([ 0.0965228  ,  1.12509    ,  0.0594157  ,  0.0383254  ])
3351    , -91.3363    , array([ 0.0965228  ,  1.12509    ,  0.0594157  ,  0.0383254  ])
3352    , -91.3128    , array([ 0.0966193  ,  1.12509    ,  0.0594157  ,  0.0383254  ])
3353    , -91.3458    , array([ 0.0965228  ,  1.12622    ,  0.0594157  ,  0.0383254  ])
3354    , -91.3725    , array([ 0.0965228  ,  1.12509    ,  0.0594752  ,  0.0383254  ])
3355    , -91.3754    , array([ 0.0965228  ,  1.12509    ,  0.0594157  ,  0.0383637  ])
3356    , -90.051     , array([ 0.0774784  ,  1.06023    ,  0.0446172  ,  0.0415864  ])
3357    , -90.051     , array([ 0.0774784  ,  1.06023    ,  0.0446172  ,  0.0415864  ])
3358    , -90.0598    , array([ 0.0775559  ,  1.06023    ,  0.0446172  ,  0.0415864  ])
3359    , -90.0505    , array([ 0.0774784  ,  1.06129    ,  0.0446172  ,  0.0415864  ])
3360    , -90.0534    , array([ 0.0774784  ,  1.06023    ,  0.0446619  ,  0.0415864  ])
3361    , -90.0745    , array([ 0.0774784  ,  1.06023    ,  0.0446172  ,  0.0416281  ])
3362    , -89.7       , array([ 0.0648521  ,  1.15244    ,  0.0365917  ,  0.0407083  ])
3363    , -89.7       , array([ 0.0648521  ,  1.15244    ,  0.0365917  ,  0.0407083  ])
3364    , -89.6835    , array([ 0.064917   ,  1.15244    ,  0.0365917  ,  0.0407083  ])
3365    , -89.7026    , array([ 0.0648521  ,  1.1536     ,  0.0365917  ,  0.0407083  ])
3366    , -89.7127    , array([ 0.0648521  ,  1.15244    ,  0.0366284  ,  0.0407083  ])
3367    , -89.6795    , array([ 0.0648521  ,  1.15244    ,  0.0365917  ,  0.040749   ])
3368    , -89.2696    , array([ 0.0590989  ,  1.13492    ,  0.0325022  ,  0.0421332  ])
3369    , -89.2696    , array([ 0.0590989  ,  1.13492    ,  0.0325022  ,  0.0421332  ])
3370    , -89.2695    , array([ 0.059158   ,  1.13492    ,  0.0325022  ,  0.0421332  ])
3371    , -89.2743    , array([ 0.0590989  ,  1.13606    ,  0.0325022  ,  0.0421332  ])
3372    , -89.2703    , array([ 0.0590989  ,  1.13492    ,  0.0325347  ,  0.0421332  ])
3373    , -89.262     , array([ 0.0590989  ,  1.13492    ,  0.0325022  ,  0.0421754  ])
3374    , -89.0897    , array([ 0.0491058  ,  1.07311    ,  0.0260424  ,  0.0446953  ])
3375    , -89.0897    , array([ 0.0491058  ,  1.07311    ,  0.0260424  ,  0.0446953  ])
3376    , -89.1169    , array([ 0.0491549  ,  1.07311    ,  0.0260424  ,  0.0446953  ])
3377    , -89.0904    , array([ 0.0491058  ,  1.07419    ,  0.0260424  ,  0.0446953  ])
3378    , -89.068     , array([ 0.0491058  ,  1.07311    ,  0.0260684  ,  0.0446953  ])
3379    , -89.0952    , array([ 0.0491058  ,  1.07311    ,  0.0260424  ,  0.04474    ])
3380    , -88.9566    , array([ 0.047464   ,  1.0505     ,  0.0252525  ,  0.0450406  ])
3381    , -88.9566    , array([ 0.047464   ,  1.0505     ,  0.0252525  ,  0.0450406  ])
3382    , -88.9781    , array([ 0.0475114  ,  1.0505     ,  0.0252525  ,  0.0450406  ])
3383    , -88.9541    , array([ 0.047464   ,  1.05155    ,  0.0252525  ,  0.0450406  ])
3384    , -88.9398    , array([ 0.047464   ,  1.0505     ,  0.0252777  ,  0.0450406  ])
3385    , -88.959     , array([ 0.047464   ,  1.0505     ,  0.0252525  ,  0.0450857  ])
3386    , -88.8589    , array([ 0.0434588  ,  1.03729    ,  0.0230245  ,  0.045753   ])
3387    , -88.8589    , array([ 0.0434588  ,  1.03729    ,  0.0230245  ,  0.045753   ])
3388    , -88.8745    , array([ 0.0435023  ,  1.03729    ,  0.0230245  ,  0.045753   ])
3389    , -88.8571    , array([ 0.0434588  ,  1.03833    ,  0.0230245  ,  0.045753   ])
3390    , -88.8476    , array([ 0.0434588  ,  1.03729    ,  0.0230475  ,  0.045753   ])
3391    , -88.8648    , array([ 0.0434588  ,  1.03729    ,  0.0230245  ,  0.0457988  ])
3392    , -88.7967    , array([ 0.0403463  ,  1.03123    ,  0.0212914  ,  0.0462233  ])
3393    , -88.7967    , array([ 0.0403463  ,  1.03123    ,  0.0212914  ,  0.0462233  ])
3394    , -88.8082    , array([ 0.0403867  ,  1.03123    ,  0.0212914  ,  0.0462233  ])
3395    , -88.7957    , array([ 0.0403463  ,  1.03226    ,  0.0212914  ,  0.0462233  ])
3396    , -88.789     , array([ 0.0403463  ,  1.03123    ,  0.0213127  ,  0.0462233  ])
3397    , -88.8041    , array([ 0.0403463  ,  1.03123    ,  0.0212914  ,  0.0462695  ])
