183530  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183531  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183532  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183533  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93182e-12,  0.0242351  ])
183534  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94076e-12,  0.0242351  ])
183535  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242594  ])
183536  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183537  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183538  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183539  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183540  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93182e-12,  0.0242351  ])
183541  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94076e-12,  0.0242351  ])
183542  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242594  ])
183543  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183544  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183545  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183546  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183547  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.69597e-51,  8.93182e-12,  0.0242351  ])
183548  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.94076e-12,  0.0242351  ])
183549  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242594  ])
183550  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183551  , -1632.53    , array([ 1.43782    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183552  , -1632.53    , array([ 1.43926    ,  0.0676655  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
183553  , -1632.52    , array([ 1.43782    ,  0.0677332  ,  7.68827e-51,  8.93182e-12,  0.0242351  ])
