1622    , -1311.36    , array([ 1.00015    ,  0.0980673  ,  5.02468    ,  2.47711    ,  0.0486747  ])
1623    , -1311.36    , array([ 1.00115    ,  0.0980673  ,  5.02468    ,  2.47711    ,  0.0486747  ])
1624    , -1311.31    , array([ 1.00015    ,  0.0981654  ,  5.02468    ,  2.47711    ,  0.0486747  ])
1625    , -1311.36    , array([ 1.00015    ,  0.0980673  ,  5.02971    ,  2.47711    ,  0.0486747  ])
1626    , -1311.35    , array([ 1.00015    ,  0.0980673  ,  5.02468    ,  2.47958    ,  0.0486747  ])
1627    , -1311.38    , array([ 1.00015    ,  0.0980673  ,  5.02468    ,  2.47711    ,  0.0487234  ])
1628    , -1311.23    , array([ 1.00133    ,  0.0982498  ,  4.99305    ,  2.49031    ,  0.0487713  ])
1629    , -1311.23    , array([ 1.00133    ,  0.0982498  ,  4.99305    ,  2.49031    ,  0.0487713  ])
1630    , -1311.23    , array([ 1.00233    ,  0.0982498  ,  4.99305    ,  2.49031    ,  0.0487713  ])
1631    , -1311.2     , array([ 1.00133    ,  0.0983481  ,  4.99305    ,  2.49031    ,  0.0487713  ])
1632    , -1311.23    , array([ 1.00133    ,  0.0982498  ,  4.99804    ,  2.49031    ,  0.0487713  ])
1633    , -1311.22    , array([ 1.00133    ,  0.0982498  ,  4.99305    ,  2.4928     ,  0.0487713  ])
1634    , -1311.24    , array([ 1.00133    ,  0.0982498  ,  4.99305    ,  2.49031    ,  0.0488201  ])
1635    , -1311.13    , array([ 1.0015     ,  0.098311   ,  4.97121    ,  2.53572    ,  0.0489354  ])
1636    , -1311.13    , array([ 1.0015     ,  0.098311   ,  4.97121    ,  2.53572    ,  0.0489354  ])
1637    , -1311.13    , array([ 1.0025     ,  0.098311   ,  4.97121    ,  2.53572    ,  0.0489354  ])
1638    , -1311.12    , array([ 1.0015     ,  0.0984093  ,  4.97121    ,  2.53572    ,  0.0489354  ])
1639    , -1311.13    , array([ 1.0015     ,  0.098311   ,  4.97619    ,  2.53572    ,  0.0489354  ])
1640    , -1311.13    , array([ 1.0015     ,  0.098311   ,  4.97121    ,  2.53826    ,  0.0489354  ])
1641    , -1311.13    , array([ 1.0015     ,  0.098311   ,  4.97121    ,  2.53572    ,  0.0489843  ])
1642    , -1311.12    , array([ 1.00091    ,  0.0982857  ,  4.97754    ,  2.54703    ,  0.0489599  ])
1643    , -1311.12    , array([ 1.00091    ,  0.0982857  ,  4.97754    ,  2.54703    ,  0.0489599  ])
1644    , -1311.12    , array([ 1.00191    ,  0.0982857  ,  4.97754    ,  2.54703    ,  0.0489599  ])
1645    , -1311.12    , array([ 1.00091    ,  0.0983841  ,  4.97754    ,  2.54703    ,  0.0489599  ])
1646    , -1311.12    , array([ 1.00091    ,  0.0982857  ,  4.98252    ,  2.54703    ,  0.0489599  ])
1647    , -1311.12    , array([ 1.00091    ,  0.0982857  ,  4.97754    ,  2.54957    ,  0.0489599  ])
1648    , -1311.12    , array([ 1.00091    ,  0.0982857  ,  4.97754    ,  2.54703    ,  0.0490089  ])
1649    , -1311.12    , array([ 1.00062    ,  0.0982787  ,  4.98102    ,  2.54884    ,  0.0489712  ])
1650    , -1311.12    , array([ 1.00062    ,  0.0982787  ,  4.98102    ,  2.54884    ,  0.0489712  ])
1651    , -1311.12    , array([ 1.00162    ,  0.0982787  ,  4.98102    ,  2.54884    ,  0.0489712  ])
1652    , -1311.12    , array([ 1.00062    ,  0.098377   ,  4.98102    ,  2.54884    ,  0.0489712  ])
1653    , -1311.12    , array([ 1.00062    ,  0.0982787  ,  4.98601    ,  2.54884    ,  0.0489712  ])
1654    , -1311.12    , array([ 1.00062    ,  0.0982787  ,  4.98102    ,  2.55139    ,  0.0489712  ])
1655    , -1311.12    , array([ 1.00062    ,  0.0982787  ,  4.98102    ,  2.54884    ,  0.0490202  ])
1656    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98132    ,  2.54845    ,  0.0489688  ])
1657    , -1311.12    , array([ 1.00063    ,  0.0982782  ,  4.98132    ,  2.54845    ,  0.0489688  ])
1658    , -1311.12    , array([ 1.00163    ,  0.0982782  ,  4.98132    ,  2.54845    ,  0.0489688  ])
