93403   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93404   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93405   , -2432.87    , array([ 2.85482    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93406   , -2433.98    , array([ 2.85196    ,  0.152203   ,  4.76464e-54,  1.38058    ,  0.0603293  ])
93407   , -2432.4     , array([ 2.85196    ,  0.152051   ,  4.7694e-54 ,  1.38058    ,  0.0603293  ])
93408   , -2432.5     , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38196    ,  0.0603293  ])
93409   , -2433.08    , array([ 2.85196    ,  0.152051   ,  4.76464e-54,  1.38058    ,  0.0603897  ])
93410   , -3079.06    , array([ 1.74572    ,  0.156685   ,  4.76464e-54,  3.79448    ,  0.0615259  ])
93411   , -3079.06    , array([ 1.74572    ,  0.156685   ,  4.76464e-54,  3.79448    ,  0.0615259  ])
93412   , -3079.22    , array([ 1.74747    ,  0.156685   ,  4.76464e-54,  3.79448    ,  0.0615259  ])
93413   , -3085.46    , array([ 1.74572    ,  0.156842   ,  4.76464e-54,  3.79448    ,  0.0615259  ])
93414   , -3079.06    , array([ 1.74572    ,  0.156685   ,  4.7694e-54 ,  3.79448    ,  0.0615259  ])
93415   , -3080.88    , array([ 1.74572    ,  0.156685   ,  4.76464e-54,  3.79828    ,  0.0615259  ])
93416   , -3076.44    , array([ 1.74572    ,  0.156685   ,  4.76464e-54,  3.79448    ,  0.0615875  ])
93417   , -2429.15    , array([ 2.73425    ,  0.152443   ,  4.76464e-54,  1.5058     ,  0.0604312  ])
93418   , -2429.15    , array([ 2.73425    ,  0.152443   ,  4.76464e-54,  1.5058     ,  0.0604312  ])
93419   , -2429.62    , array([ 2.73699    ,  0.152443   ,  4.76464e-54,  1.5058     ,  0.0604312  ])
93420   , -2431.04    , array([ 2.73425    ,  0.152596   ,  4.76464e-54,  1.5058     ,  0.0604312  ])
93421   , -2429.15    , array([ 2.73425    ,  0.152443   ,  4.7694e-54 ,  1.5058     ,  0.0604312  ])
93422   , -2429.31    , array([ 2.73425    ,  0.152443   ,  4.76464e-54,  1.5073     ,  0.0604312  ])
93423   , -2429.57    , array([ 2.73425    ,  0.152443   ,  4.76464e-54,  1.5058     ,  0.0604916  ])
93424   , -2422.59    , array([ 2.72936    ,  0.152031   ,  4.76464e-54,  1.50913    ,  0.0602783  ])
93425   , -2422.59    , array([ 2.72936    ,  0.152031   ,  4.76464e-54,  1.50913    ,  0.0602783  ])
93426   , -2423.05    , array([ 2.73209    ,  0.152031   ,  4.76464e-54,  1.50913    ,  0.0602783  ])
93427   , -2424.46    , array([ 2.72936    ,  0.152183   ,  4.76464e-54,  1.50913    ,  0.0602783  ])
93428   , -2422.59    , array([ 2.72936    ,  0.152031   ,  4.7694e-54 ,  1.50913    ,  0.0602783  ])
93429   , -2422.74    , array([ 2.72936    ,  0.152031   ,  4.76464e-54,  1.51064    ,  0.0602783  ])
93430   , -2423       , array([ 2.72936    ,  0.152031   ,  4.76464e-54,  1.50913    ,  0.0603386  ])
93431   , -2396.65    , array([ 2.70988    ,  0.150393   ,  4.76464e-54,  1.52254    ,  0.0596709  ])
93432   , -2396.65    , array([ 2.70988    ,  0.150393   ,  4.76464e-54,  1.52254    ,  0.0596709  ])
93433   , -2397.1     , array([ 2.71259    ,  0.150393   ,  4.76464e-54,  1.52254    ,  0.0596709  ])
93434   , -2398.49    , array([ 2.70988    ,  0.150543   ,  4.76464e-54,  1.52254    ,  0.0596709  ])
93435   , -2396.65    , array([ 2.70988    ,  0.150393   ,  4.7694e-54 ,  1.52254    ,  0.0596709  ])
93436   , -2396.8     , array([ 2.70988    ,  0.150393   ,  4.76464e-54,  1.52407    ,  0.0596709  ])
93437   , -2397.05    , array([ 2.70988    ,  0.150393   ,  4.76464e-54,  1.52254    ,  0.0597306  ])
93438   , -2298.05    , array([ 2.63332    ,  0.144015   ,  4.76464e-54,  1.5774     ,  0.0573018  ])
93439   , -2298.05    , array([ 2.63332    ,  0.144015   ,  4.76464e-54,  1.5774     ,  0.0573018  ])
93440   , -2298.46    , array([ 2.63596    ,  0.144015   ,  4.76464e-54,  1.5774     ,  0.0573018  ])
93441   , -2299.75    , array([ 2.63332    ,  0.144159   ,  4.76464e-54,  1.5774     ,  0.0573018  ])
93442   , -2298.05    , array([ 2.63332    ,  0.144015   ,  4.7694e-54 ,  1.5774     ,  0.0573018  ])
93443   , -2298.18    , array([ 2.63332    ,  0.144015   ,  4.76464e-54,  1.57898    ,  0.0573018  ])
93444   , -2298.41    , array([ 2.63332    ,  0.144015   ,  4.76464e-54,  1.5774     ,  0.0573592  ])
93445   , -2065.31    , array([ 2.42612    ,  0.127736   ,  4.76464e-54,  1.75022    ,  0.0512334  ])
93446   , -2065.31    , array([ 2.42612    ,  0.127736   ,  4.76464e-54,  1.75022    ,  0.0512334  ])
