50885   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50886   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50887   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50888   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50889   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50890   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50891   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50892   , -2121.37    , array([ 5.44233    ,  0.00100018 ,  3.00634e-33,  1.37178e-05])
50893   , -2121.54    , array([ 5.43689    ,  0.00100118 ,  3.00634e-33,  1.37178e-05])
50894   , -2121.37    , array([ 5.43689    ,  0.00100018 ,  3.00935e-33,  1.37178e-05])
50895   , -2121.2     , array([ 5.43689    ,  0.00100018 ,  3.00634e-33,  1.37315e-05])
50896   , -2333.42    , array([ 5.43689    ,  0.577803   ,  3.00634e-33,  0.000241902])
50897   , -2333.42    , array([ 5.43689    ,  0.577803   ,  3.00634e-33,  0.000241902])
50898   , -2333.42    , array([ 5.44233    ,  0.577803   ,  3.00634e-33,  0.000241902])
50899   , -2333.42    , array([ 5.43689    ,  0.578381   ,  3.00634e-33,  0.000241902])
50900   , -2333.42    , array([ 5.43689    ,  0.577803   ,  3.00935e-33,  0.000241902])
50901   , -2333.41    , array([ 5.43689    ,  0.577803   ,  3.00634e-33,  0.000242144])
50902   , -2326.62    , array([ 5.43689    ,  0.230129   ,  3.00634e-33,  0.000159664])
50903   , -2326.62    , array([ 5.43689    ,  0.230129   ,  3.00634e-33,  0.000159664])
50904   , -2326.62    , array([ 5.44233    ,  0.230129   ,  3.00634e-33,  0.000159664])
50905   , -2326.64    , array([ 5.43689    ,  0.23036    ,  3.00634e-33,  0.000159664])
50906   , -2326.62    , array([ 5.43689    ,  0.230129   ,  3.00935e-33,  0.000159664])
50907   , -2326.61    , array([ 5.43689    ,  0.230129   ,  3.00634e-33,  0.000159823])
50908   , -2302.51    , array([ 5.43689    ,  0.0365053  ,  3.00634e-33,  6.95568e-05])
50909   , -2302.51    , array([ 5.43689    ,  0.0365053  ,  3.00634e-33,  6.95568e-05])
50910   , -2302.51    , array([ 5.44233    ,  0.0365053  ,  3.00634e-33,  6.95568e-05])
50911   , -2302.54    , array([ 5.43689    ,  0.0365418  ,  3.00634e-33,  6.95568e-05])
50912   , -2302.51    , array([ 5.43689    ,  0.0365053  ,  3.00935e-33,  6.95568e-05])
50913   , -2302.47    , array([ 5.43689    ,  0.0365053  ,  3.00634e-33,  6.96264e-05])
50915   , -2244.4     , array([ 5.43689    ,  0.0057908  ,  3.00634e-33,  3.03021e-05])
50916   , -2244.4     , array([ 5.43689    ,  0.0057908  ,  3.00634e-33,  3.03021e-05])
50917   , -2244.4     , array([ 5.44233    ,  0.0057908  ,  3.00634e-33,  3.03021e-05])
