17105   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17106   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17107   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17108   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17110   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17111   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17112   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17113   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17114   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17116   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17117   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17118   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17119   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17120   , -2537.26    , array([ 0.525      ,  99.9517    ,  5.13649e-92,  0.00926875 ])
17122   , -2537.26    , array([ 0.524475   ,  99.9517    ,  5.14163e-92,  0.00926875 ])
17123   , -2537.48    , array([ 0.524475   ,  99.9517    ,  5.13649e-92,  0.00927803 ])
17129   , -2538.78    , array([ 0.524475   ,  96.4198    ,  5.13649e-92,  0.00933532 ])
17130   , -2538.78    , array([ 0.524475   ,  96.4198    ,  5.13649e-92,  0.00933532 ])
17131   , -2538.78    , array([ 0.525      ,  96.4198    ,  5.13649e-92,  0.00933532 ])
17132   , -2538.78    , array([ 0.524475   ,  96.5163    ,  5.13649e-92,  0.00933532 ])
17133   , -2538.78    , array([ 0.524475   ,  96.4198    ,  5.14163e-92,  0.00933532 ])
17134   , -2539       , array([ 0.524475   ,  96.4198    ,  5.13649e-92,  0.00934466 ])
17137   , -2537.9     , array([ 0.524475   ,  98.4362    ,  5.13649e-92,  0.00929696 ])
17138   , -2537.9     , array([ 0.524475   ,  98.4362    ,  5.13649e-92,  0.00929696 ])
17139   , -2537.9     , array([ 0.525      ,  98.4362    ,  5.13649e-92,  0.00929696 ])
17140   , -2537.91    , array([ 0.524475   ,  98.5347    ,  5.13649e-92,  0.00929696 ])
17141   , -2537.9     , array([ 0.524475   ,  98.4362    ,  5.14163e-92,  0.00929696 ])
17142   , -2538.13    , array([ 0.524475   ,  98.4362    ,  5.13649e-92,  0.00930627 ])
17143   , -2537.47    , array([ 0.524475   ,  99.4601    ,  5.13649e-92,  0.00927785 ])
17144   , -2537.47    , array([ 0.524475   ,  99.4601    ,  5.13649e-92,  0.00927785 ])
17145   , -2537.47    , array([ 0.525      ,  99.4601    ,  5.13649e-92,  0.00927785 ])
