183463  , -1.13598e+06, array([ 0.00214353 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183464  , -1.13694e+06, array([ 0.00214139 ,  99.6628    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183465  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.48685e-59,  1.76158e-08,  0.0529878  ])
183466  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76335e-08,  0.0529878  ])
183467  , -1.13788e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0530408  ])
183475  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183476  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183477  , -1.13598e+06, array([ 0.00214353 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183478  , -1.13694e+06, array([ 0.00214139 ,  99.6628    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183479  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.48685e-59,  1.76158e-08,  0.0529878  ])
183480  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76335e-08,  0.0529878  ])
183481  , -1.13788e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0530408  ])
183482  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183483  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183484  , -1.13598e+06, array([ 0.00214353 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183485  , -1.13694e+06, array([ 0.00214139 ,  99.6628    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183486  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.48685e-59,  1.76158e-08,  0.0529878  ])
183487  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76335e-08,  0.0529878  ])
183488  , -1.13788e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0530408  ])
183496  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183497  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183498  , -1.13598e+06, array([ 0.00214353 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183499  , -1.13694e+06, array([ 0.00214139 ,  99.6628    ,  9.47737e-59,  1.76158e-08,  0.0529878  ])
183500  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.48685e-59,  1.76158e-08,  0.0529878  ])
183501  , -1.13694e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76335e-08,  0.0529878  ])
183502  , -1.13788e+06, array([ 0.00214139 ,  99.5632    ,  9.47737e-59,  1.76158e-08,  0.0530408  ])
183503  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183504  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183505  , -1.13595e+06, array([ 0.0021424  ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183506  , -1.13691e+06, array([ 0.00214025 ,  99.9862    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183507  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.48685e-59,  1.75825e-08,  0.0529569  ])
183508  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.76001e-08,  0.0529569  ])
183509  , -1.13785e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0530099  ])
183510  , -1.1369e+06 , array([ 0.00213987 ,  99.9963    ,  9.47737e-59,  1.75712e-08,  0.0529464  ])
183511  , -1.1369e+06 , array([ 0.00213987 ,  99.9963    ,  9.47737e-59,  1.75712e-08,  0.0529464  ])
183512  , -1.13594e+06, array([ 0.00214201 ,  99.9963    ,  9.47737e-59,  1.75712e-08,  0.0529464  ])
183514  , -1.1369e+06 , array([ 0.00213987 ,  99.9963    ,  9.48685e-59,  1.75712e-08,  0.0529464  ])
183515  , -1.1369e+06 , array([ 0.00213987 ,  99.9963    ,  9.47737e-59,  1.75888e-08,  0.0529464  ])
183516  , -1.13783e+06, array([ 0.00213987 ,  99.9963    ,  9.47737e-59,  1.75712e-08,  0.0529994  ])
183517  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183518  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183519  , -1.13595e+06, array([ 0.0021424  ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183520  , -1.13691e+06, array([ 0.00214025 ,  99.9862    ,  9.47737e-59,  1.75825e-08,  0.0529569  ])
183521  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.48685e-59,  1.75825e-08,  0.0529569  ])
183522  , -1.13691e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.76001e-08,  0.0529569  ])
183523  , -1.13785e+06, array([ 0.00214025 ,  99.8863    ,  9.47737e-59,  1.75825e-08,  0.0530099  ])
183524  , -1.1369e+06 , array([ 0.00214    ,  99.9596    ,  9.47737e-59,  1.7575e-08 ,  0.0529499  ])
183525  , -1.1369e+06 , array([ 0.00214    ,  99.9596    ,  9.47737e-59,  1.7575e-08 ,  0.0529499  ])
183526  , -1.13594e+06, array([ 0.00214214 ,  99.9596    ,  9.47737e-59,  1.7575e-08 ,  0.0529499  ])
183528  , -1.1369e+06 , array([ 0.00214    ,  99.9596    ,  9.48685e-59,  1.7575e-08 ,  0.0529499  ])
183529  , -1.1369e+06 , array([ 0.00214    ,  99.9596    ,  9.47737e-59,  1.75926e-08,  0.0529499  ])
183530  , -1.13784e+06, array([ 0.00214    ,  99.9596    ,  9.47737e-59,  1.7575e-08 ,  0.0530029  ])
183531  , -1.1369e+06 , array([ 0.0021399  ,  99.9886    ,  9.47737e-59,  1.7572e-08 ,  0.0529471  ])
183532  , -1.1369e+06 , array([ 0.0021399  ,  99.9886    ,  9.47737e-59,  1.7572e-08 ,  0.0529471  ])
183533  , -1.13594e+06, array([ 0.00214204 ,  99.9886    ,  9.47737e-59,  1.7572e-08 ,  0.0529471  ])
183535  , -1.1369e+06 , array([ 0.0021399  ,  99.9886    ,  9.48685e-59,  1.7572e-08 ,  0.0529471  ])
183536  , -1.1369e+06 , array([ 0.0021399  ,  99.9886    ,  9.47737e-59,  1.75896e-08,  0.0529471  ])
183537  , -1.13783e+06, array([ 0.0021399  ,  99.9886    ,  9.47737e-59,  1.7572e-08 ,  0.0530001  ])
183538  , -1.1369e+06 , array([ 0.00213987 ,  99.9947    ,  9.47737e-59,  1.75714e-08,  0.0529465  ])
