112648  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112649  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112650  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112651  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112652  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
112653  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869535,  0.0242508  ])
112654  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.024275   ])
112655  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112656  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112657  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112658  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112659  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
112660  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869535,  0.0242508  ])
112661  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.024275   ])
112662  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112663  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112664  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112665  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112666  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
112667  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869535,  0.0242508  ])
112668  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.024275   ])
112669  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112670  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112671  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112672  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112673  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
112674  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000869535,  0.0242508  ])
112675  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.024275   ])
112676  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112677  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112678  , -1632.48    , array([ 1.44496    ,  0.0677114  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112679  , -1632.48    , array([ 1.44351    ,  0.0677792  ,  6.68643e-06,  0.000868666,  0.0242508  ])
112680  , -1632.48    , array([ 1.44351    ,  0.0677114  ,  6.69312e-06,  0.000868666,  0.0242508  ])
