21919   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21921   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21922   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21923   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21924   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21925   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21927   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21928   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21929   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21930   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21931   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21933   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21934   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21935   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21936   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21937   , -4892.51    , array([ 19.7416    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21939   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.44683e-25,  0.0789511  ])
21940   , -4895.61    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0790301  ])
21941   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
21942   , -4892.51    , array([ 19.7219    ,  99.9968    ,  7.43939e-25,  0.0789511  ])
