51953   , -37118.2    , array([ 2.15803    ,  4.72249    ,  3.39913e-18,  1.01111e-70,  0.386089   ])
51954   , -37126.4    , array([ 2.15803    ,  4.72249    ,  3.39913e-18,  1.0101e-70 ,  0.386475   ])
51955   , -37114.6    , array([ 2.15855    ,  4.72086    ,  3.40769e-18,  1.0101e-70 ,  0.386193   ])
51956   , -37114.6    , array([ 2.15855    ,  4.72086    ,  3.40769e-18,  1.0101e-70 ,  0.386193   ])
51957   , -37109.6    , array([ 2.16071    ,  4.72086    ,  3.40769e-18,  1.0101e-70 ,  0.386193   ])
51958   , -37127.8    , array([ 2.15855    ,  4.72558    ,  3.40769e-18,  1.0101e-70 ,  0.386193   ])
51959   , -37114.6    , array([ 2.15855    ,  4.72086    ,  3.4111e-18 ,  1.0101e-70 ,  0.386193   ])
51960   , -37114.6    , array([ 2.15855    ,  4.72086    ,  3.40769e-18,  1.01111e-70,  0.386193   ])
51961   , -37122.8    , array([ 2.15855    ,  4.72086    ,  3.40769e-18,  1.0101e-70 ,  0.386579   ])
51962   , -187843     , array([ 10.3164    ,  0.498931   ,  4.32026e-11,  1.0101e-70 ,  2.22006    ])
51963   , -187843     , array([ 10.3164    ,  0.498931   ,  4.32026e-11,  1.0101e-70 ,  2.22006    ])
51964   , -187847     , array([ 10.3267    ,  0.498931   ,  4.32026e-11,  1.0101e-70 ,  2.22006    ])
51965   , -187690     , array([ 10.3164    ,  0.499431   ,  4.32026e-11,  1.0101e-70 ,  2.22006    ])
51966   , -187843     , array([ 10.3164    ,  0.498931   ,  4.32458e-11,  1.0101e-70 ,  2.22006    ])
51967   , -187843     , array([ 10.3164    ,  0.498931   ,  4.32026e-11,  1.01111e-70,  2.22006    ])
51968   , -188024     , array([ 10.3164    ,  0.498931   ,  4.32026e-11,  1.0101e-70 ,  2.22228    ])
51969   , -32878.1    , array([ 3.07608    ,  2.83805    ,  1.38316e-16,  1.0101e-70 ,  0.573851   ])
51970   , -32878.1    , array([ 3.07608    ,  2.83805    ,  1.38316e-16,  1.0101e-70 ,  0.573851   ])
51971   , -32871.7    , array([ 3.07916    ,  2.83805    ,  1.38316e-16,  1.0101e-70 ,  0.573851   ])
51972   , -32889.3    , array([ 3.07608    ,  2.84089    ,  1.38316e-16,  1.0101e-70 ,  0.573851   ])
51973   , -32878.1    , array([ 3.07608    ,  2.83805    ,  1.38455e-16,  1.0101e-70 ,  0.573851   ])
51974   , -32878.1    , array([ 3.07608    ,  2.83805    ,  1.38316e-16,  1.01111e-70,  0.573851   ])
51975   , -32894.1    , array([ 3.07608    ,  2.83805    ,  1.38316e-16,  1.0101e-70 ,  0.574425   ])
51976   , -32739.5    , array([ 3.27427    ,  2.59456    ,  2.65702e-16,  1.0101e-70 ,  0.615343   ])
51977   , -32739.5    , array([ 3.27427    ,  2.59456    ,  2.65702e-16,  1.0101e-70 ,  0.615343   ])
51978   , -32733.2    , array([ 3.27755    ,  2.59456    ,  2.65702e-16,  1.0101e-70 ,  0.615343   ])
51979   , -32749.1    , array([ 3.27427    ,  2.59715    ,  2.65702e-16,  1.0101e-70 ,  0.615343   ])
51980   , -32739.5    , array([ 3.27427    ,  2.59456    ,  2.65968e-16,  1.0101e-70 ,  0.615343   ])
51981   , -32739.5    , array([ 3.27427    ,  2.59456    ,  2.65702e-16,  1.01111e-70,  0.615343   ])
51982   , -32757.9    , array([ 3.27427    ,  2.59456    ,  2.65702e-16,  1.0101e-70 ,  0.615959   ])
51983   , -685656     , array([ 16.5451    ,  0.171434   ,  1.14653e-10,  1.0101e-70 ,  3.15246    ])
51984   , -685656     , array([ 16.5451    ,  0.171434   ,  1.14653e-10,  1.0101e-70 ,  3.15246    ])
51985   , -685664     , array([ 16.5616    ,  0.171434   ,  1.14653e-10,  1.0101e-70 ,  3.15246    ])
51986   , -685016     , array([ 16.5451    ,  0.171605   ,  1.14653e-10,  1.0101e-70 ,  3.15246    ])
51987   , -685656     , array([ 16.5451    ,  0.171434   ,  1.14768e-10,  1.0101e-70 ,  3.15246    ])
51988   , -685656     , array([ 16.5451    ,  0.171434   ,  1.14653e-10,  1.01111e-70,  3.15246    ])
51989   , -686321     , array([ 16.5451    ,  0.171434   ,  1.14653e-10,  1.0101e-70 ,  3.15561    ])
51990   , -38096.1    , array([ 4.47905    ,  1.53409    ,  3.26764e-15,  1.0101e-70 ,  0.844004   ])
51991   , -38096.1    , array([ 4.47905    ,  1.53409    ,  3.26764e-15,  1.0101e-70 ,  0.844004   ])
51992   , -38092      , array([ 4.48353    ,  1.53409    ,  3.26764e-15,  1.0101e-70 ,  0.844004   ])
51993   , -38088.9    , array([ 4.47905    ,  1.53563    ,  3.26764e-15,  1.0101e-70 ,  0.844004   ])
51994   , -38096.1    , array([ 4.47905    ,  1.53409    ,  3.27091e-15,  1.0101e-70 ,  0.844004   ])
51995   , -38096.1    , array([ 4.47905    ,  1.53409    ,  3.26764e-15,  1.01111e-70,  0.844004   ])
51996   , -38131.8    , array([ 4.47905    ,  1.53409    ,  3.26764e-15,  1.0101e-70 ,  0.844849   ])
51997   , -32664.5    , array([ 3.38566    ,  2.453      ,  3.4734e-16 ,  1.0101e-70 ,  0.636457   ])
51998   , -32664.5    , array([ 3.38566    ,  2.453      ,  3.4734e-16 ,  1.0101e-70 ,  0.636457   ])
51999   , -32658.3    , array([ 3.38904    ,  2.453      ,  3.4734e-16 ,  1.0101e-70 ,  0.636457   ])
52000   , -32672.9    , array([ 3.38566    ,  2.45545    ,  3.4734e-16 ,  1.0101e-70 ,  0.636457   ])
52001   , -32664.5    , array([ 3.38566    ,  2.453      ,  3.47687e-16,  1.0101e-70 ,  0.636457   ])
52002   , -32664.5    , array([ 3.38566    ,  2.453      ,  3.4734e-16 ,  1.01111e-70,  0.636457   ])
52003   , -32684.2    , array([ 3.38566    ,  2.453      ,  3.4734e-16 ,  1.0101e-70 ,  0.637093   ])
52004   , -32513.3    , array([ 3.3833     ,  2.43715    ,  3.13587e-16,  1.0101e-70 ,  0.633202   ])
52005   , -32513.3    , array([ 3.3833     ,  2.43715    ,  3.13587e-16,  1.0101e-70 ,  0.633202   ])
