51093   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51094   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51095   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51096   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51097   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51098   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51099   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51100   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51101   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51102   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51103   , -393.029    , array([ 2.88847    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
51104   , -393.025    , array([ 2.88558    ,  0.0326632  ,  1.50766e-32,  0.122858   ])
51105   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50917e-32,  0.122858   ])
51106   , -393.053    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122981   ])
51107   , -393.029    , array([ 2.88558    ,  0.0326305  ,  1.50766e-32,  0.122858   ])
