129979  , -1781.89    , array([ 1.56179    ,  0.0537288  ,  9.70875e-53,  1.36348e-59,  0.0210354  ])
129980  , -1775.72    , array([ 1.56282    ,  0.0540794  ,  9.10578e-53,  1.36348e-59,  0.0211355  ])
129981  , -1775.72    , array([ 1.56282    ,  0.0540794  ,  9.10578e-53,  1.36348e-59,  0.0211355  ])
129982  , -1775.76    , array([ 1.56439    ,  0.0540794  ,  9.10578e-53,  1.36348e-59,  0.0211355  ])
129983  , -1772.95    , array([ 1.56282    ,  0.0541335  ,  9.10578e-53,  1.36348e-59,  0.0211355  ])
129984  , -1775.72    , array([ 1.56282    ,  0.0540794  ,  9.11489e-53,  1.36348e-59,  0.0211355  ])
129985  , -1775.72    , array([ 1.56282    ,  0.0540794  ,  9.10578e-53,  1.36484e-59,  0.0211355  ])
129986  , -1778.26    , array([ 1.56282    ,  0.0540794  ,  9.10578e-53,  1.36348e-59,  0.0211567  ])
129987  , -1761.88    , array([ 1.56695    ,  0.0555048  ,  7.04585e-53,  1.36348e-59,  0.021627   ])
129988  , -1761.88    , array([ 1.56695    ,  0.0555048  ,  7.04585e-53,  1.36348e-59,  0.021627   ])
129989  , -1761.92    , array([ 1.56852    ,  0.0555048  ,  7.04585e-53,  1.36348e-59,  0.021627   ])
129990  , -1759.22    , array([ 1.56695    ,  0.0555603  ,  7.04585e-53,  1.36348e-59,  0.021627   ])
129991  , -1761.88    , array([ 1.56695    ,  0.0555048  ,  7.0529e-53 ,  1.36348e-59,  0.021627   ])
129992  , -1761.88    , array([ 1.56695    ,  0.0555048  ,  7.04585e-53,  1.36484e-59,  0.021627   ])
129993  , -1764.33    , array([ 1.56695    ,  0.0555048  ,  7.04585e-53,  1.36348e-59,  0.0216486  ])
129994  , -1715.87    , array([ 1.58359    ,  0.061592   ,  2.52579e-53,  1.36348e-59,  0.0237098  ])
129995  , -1715.87    , array([ 1.58359    ,  0.061592   ,  2.52579e-53,  1.36348e-59,  0.0237098  ])
129996  , -1715.9     , array([ 1.58517    ,  0.061592   ,  2.52579e-53,  1.36348e-59,  0.0237098  ])
129997  , -1713.67    , array([ 1.58359    ,  0.0616536  ,  2.52579e-53,  1.36348e-59,  0.0237098  ])
129998  , -1715.87    , array([ 1.58359    ,  0.061592   ,  2.52832e-53,  1.36348e-59,  0.0237098  ])
129999  , -1715.87    , array([ 1.58359    ,  0.061592   ,  2.52579e-53,  1.36484e-59,  0.0237098  ])
130000  , -1717.98    , array([ 1.58359    ,  0.061592   ,  2.52579e-53,  1.36348e-59,  0.0237335  ])
130001  , -1642.22    , array([ 1.53587    ,  0.0729406  ,  5.53144e-55,  1.36348e-59,  0.0267295  ])
130002  , -1642.22    , array([ 1.53587    ,  0.0729406  ,  5.53144e-55,  1.36348e-59,  0.0267295  ])
130003  , -1642.23    , array([ 1.53741    ,  0.0729406  ,  5.53144e-55,  1.36348e-59,  0.0267295  ])
130004  , -1641.61    , array([ 1.53587    ,  0.0730136  ,  5.53144e-55,  1.36348e-59,  0.0267295  ])
130005  , -1642.22    , array([ 1.53587    ,  0.0729406  ,  5.53698e-55,  1.36348e-59,  0.0267295  ])
130006  , -1642.22    , array([ 1.53587    ,  0.0729406  ,  5.53144e-55,  1.36484e-59,  0.0267295  ])
130007  , -1642.93    , array([ 1.53587    ,  0.0729406  ,  5.53144e-55,  1.36348e-59,  0.0267562  ])
130008  , -1632.45    , array([ 1.48143    ,  0.0694776  ,  1.46951e-55,  1.36348e-59,  0.0249813  ])
130009  , -1632.45    , array([ 1.48143    ,  0.0694776  ,  1.46951e-55,  1.36348e-59,  0.0249813  ])
130010  , -1632.46    , array([ 1.48291    ,  0.0694776  ,  1.46951e-55,  1.36348e-59,  0.0249813  ])
130011  , -1632.36    , array([ 1.48143    ,  0.0695471  ,  1.46951e-55,  1.36348e-59,  0.0249813  ])
130012  , -1632.45    , array([ 1.48143    ,  0.0694776  ,  1.47098e-55,  1.36348e-59,  0.0249813  ])
130013  , -1632.45    , array([ 1.48143    ,  0.0694776  ,  1.46951e-55,  1.36484e-59,  0.0249813  ])
130014  , -1632.57    , array([ 1.48143    ,  0.0694776  ,  1.46951e-55,  1.36348e-59,  0.0250063  ])
130015  , -1632.48    , array([ 1.42241    ,  0.0678671  ,  1.15496e-55,  1.36348e-59,  0.0243042  ])
130016  , -1632.48    , array([ 1.42241    ,  0.0678671  ,  1.15496e-55,  1.36348e-59,  0.0243042  ])
