155582  , -8248.48    , array([ 0.0192665  ,  0.00569247 ,  1.09287    ,  0.0902926  ,  0.00207836 ])
155583  , -8248.52    , array([ 0.0192665  ,  0.00569247 ,  1.09178    ,  0.090383   ,  0.00207836 ])
155584  , -8258.46    , array([ 0.0192665  ,  0.00569247 ,  1.09178    ,  0.0902926  ,  0.00208044 ])
155585  , -8246.88    , array([ 0.0192776  ,  0.0056947  ,  1.07696    ,  0.0902399  ,  0.00207913 ])
155586  , -8246.88    , array([ 0.0192776  ,  0.0056947  ,  1.07696    ,  0.0902399  ,  0.00207913 ])
155587  , -8237.17    , array([ 0.0192969  ,  0.0056947  ,  1.07696    ,  0.0902399  ,  0.00207913 ])
155588  , -8246.36    , array([ 0.0192776  ,  0.0057004  ,  1.07696    ,  0.0902399  ,  0.00207913 ])
155589  , -8246.84    , array([ 0.0192776  ,  0.0056947  ,  1.07804    ,  0.0902399  ,  0.00207913 ])
155590  , -8246.88    , array([ 0.0192776  ,  0.0056947  ,  1.07696    ,  0.0903301  ,  0.00207913 ])
155591  , -8256.82    , array([ 0.0192776  ,  0.0056947  ,  1.07696    ,  0.0902399  ,  0.00208121 ])
155592  , -8240.27    , array([ 0.0193223  ,  0.00570365 ,  1.01966    ,  0.0900291  ,  0.00208221 ])
155593  , -8240.27    , array([ 0.0193223  ,  0.00570365 ,  1.01966    ,  0.0900291  ,  0.00208221 ])
155594  , -8230.56    , array([ 0.0193416  ,  0.00570365 ,  1.01966    ,  0.0900291  ,  0.00208221 ])
155595  , -8239.74    , array([ 0.0193223  ,  0.00570935 ,  1.01966    ,  0.0900291  ,  0.00208221 ])
155596  , -8240.23    , array([ 0.0193223  ,  0.00570365 ,  1.02068    ,  0.0900291  ,  0.00208221 ])
155597  , -8240.26    , array([ 0.0193223  ,  0.00570365 ,  1.01966    ,  0.0901192  ,  0.00208221 ])
155598  , -8250.2     , array([ 0.0193223  ,  0.00570365 ,  1.01966    ,  0.0900291  ,  0.00208429 ])
155599  , -8212.91    , array([ 0.0195019  ,  0.00573957 ,  0.81936    ,  0.0891909  ,  0.00209459 ])
155600  , -8212.91    , array([ 0.0195019  ,  0.00573957 ,  0.81936    ,  0.0891909  ,  0.00209459 ])
155601  , -8203.25    , array([ 0.0195214  ,  0.00573957 ,  0.81936    ,  0.0891909  ,  0.00209459 ])
155602  , -8212.38    , array([ 0.0195019  ,  0.00574531 ,  0.81936    ,  0.0891909  ,  0.00209459 ])
155603  , -8212.88    , array([ 0.0195019  ,  0.00573957 ,  0.82018    ,  0.0891909  ,  0.00209459 ])
155604  , -8212.91    , array([ 0.0195019  ,  0.00573957 ,  0.81936    ,  0.0892801  ,  0.00209459 ])
155605  , -8222.82    , array([ 0.0195019  ,  0.00573957 ,  0.81936    ,  0.0891909  ,  0.00209668 ])
155606  , -8093.83    , array([ 0.0202372  ,  0.00588553 ,  0.341632   ,  0.0859155  ,  0.00214483 ])
155607  , -8093.83    , array([ 0.0202372  ,  0.00588553 ,  0.341632   ,  0.0859155  ,  0.00214483 ])
155608  , -8084.33    , array([ 0.0202575  ,  0.00588553 ,  0.341632   ,  0.0859155  ,  0.00214483 ])
155609  , -8093.29    , array([ 0.0202372  ,  0.00589142 ,  0.341632   ,  0.0859155  ,  0.00214483 ])
155610  , -8093.82    , array([ 0.0202372  ,  0.00588553 ,  0.341973   ,  0.0859155  ,  0.00214483 ])
155611  , -8093.83    , array([ 0.0202372  ,  0.00588553 ,  0.341632   ,  0.0860015  ,  0.00214483 ])
155612  , -8103.61    , array([ 0.0202372  ,  0.00588553 ,  0.341632   ,  0.0859155  ,  0.00214697 ])
155613  , -7584.67    , array([ 0.0234667  ,  0.00650744 ,  0.010325   ,  0.0739734  ,  0.00235814 ])
