83189   , -1675.28    , array([ 1.42687    ,  0.0679782  ,  1.23158e-72,  2.51767    ,  0.0245275  ])
83190   , -1672.84    , array([ 1.42687    ,  0.0679782  ,  1.23158e-72,  2.51516    ,  0.0245521  ])
83191   , -1622.85    , array([ 1.42959    ,  0.0678874  ,  1.23158e-72,  0.245251   ,  0.0244436  ])
83192   , -1622.85    , array([ 1.42959    ,  0.0678874  ,  1.23158e-72,  0.245251   ,  0.0244436  ])
83193   , -1622.85    , array([ 1.43102    ,  0.0678874  ,  1.23158e-72,  0.245251   ,  0.0244436  ])
83194   , -1622.98    , array([ 1.42959    ,  0.0679554  ,  1.23158e-72,  0.245251   ,  0.0244436  ])
83195   , -1622.85    , array([ 1.42959    ,  0.0678874  ,  1.23281e-72,  0.245251   ,  0.0244436  ])
83196   , -1622.84    , array([ 1.42959    ,  0.0678874  ,  1.23158e-72,  0.245496   ,  0.0244436  ])
83197   , -1622.72    , array([ 1.42959    ,  0.0678874  ,  1.23158e-72,  0.245251   ,  0.024468   ])
83198   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883932   ,  0.0244898  ])
83199   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883932   ,  0.0244898  ])
83200   , -1612.08    , array([ 1.42952    ,  0.0679374  ,  1.23158e-72,  0.883932   ,  0.0244898  ])
83201   , -1612.9     , array([ 1.42809    ,  0.0680054  ,  1.23158e-72,  0.883932   ,  0.0244898  ])
83202   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23281e-72,  0.883932   ,  0.0244898  ])
83203   , -1612.08    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.884816   ,  0.0244898  ])
83204   , -1611.28    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883932   ,  0.0245143  ])
83205   , -1612.08    , array([ 1.4281     ,  0.0679372  ,  1.23158e-72,  0.879066   ,  0.0244896  ])
83206   , -1612.08    , array([ 1.4281     ,  0.0679372  ,  1.23158e-72,  0.879066   ,  0.0244896  ])
83207   , -1612.08    , array([ 1.42952    ,  0.0679372  ,  1.23158e-72,  0.879066   ,  0.0244896  ])
83208   , -1612.89    , array([ 1.4281     ,  0.0680052  ,  1.23158e-72,  0.879066   ,  0.0244896  ])
83209   , -1612.08    , array([ 1.4281     ,  0.0679372  ,  1.23281e-72,  0.879066   ,  0.0244896  ])
83210   , -1612.08    , array([ 1.4281     ,  0.0679372  ,  1.23158e-72,  0.879945   ,  0.0244896  ])
83211   , -1611.28    , array([ 1.4281     ,  0.0679372  ,  1.23158e-72,  0.879066   ,  0.0245141  ])
83212   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83213   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83214   , -1612.08    , array([ 1.42952    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83215   , -1612.9     , array([ 1.42809    ,  0.0680054  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83216   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23281e-72,  0.883578   ,  0.0244898  ])
83217   , -1612.08    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.884462   ,  0.0244898  ])
83218   , -1611.28    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0245143  ])
83226   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83227   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83228   , -1612.08    , array([ 1.42952    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83229   , -1612.9     , array([ 1.42809    ,  0.0680054  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83230   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23281e-72,  0.883578   ,  0.0244898  ])
83231   , -1612.08    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.884462   ,  0.0244898  ])
83232   , -1611.28    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0245143  ])
83233   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83234   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83235   , -1612.08    , array([ 1.42952    ,  0.0679374  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83236   , -1612.9     , array([ 1.42809    ,  0.0680054  ,  1.23158e-72,  0.883578   ,  0.0244898  ])
83237   , -1612.07    , array([ 1.42809    ,  0.0679374  ,  1.23281e-72,  0.883578   ,  0.0244898  ])
